k,wavelet_degree,AUC,AUPR,f1,lr
30,6,0.9662144187283852,0.8356163379017025,0.7619047619047619,0.1
30,6,0.9696727853152435,0.8704571115254311,0.7619047619047619,0.01
30,6,0.9670125033253525,0.838540348255943,0.7619047619047619,0.001
30,6,0.9667464751263634,0.8385011955484649,0.7619047619047619,0.0001
5,8,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
5,8,0.9555732907688215,0.7698339176581155,0.6666666666666666,0.01
5,8,0.9672785315243415,0.8401359579805694,0.7619047619047619,0.001
5,8,0.9670125033253524,0.8395134059294461,0.7619047619047619,0.0001
10,8,0.9662144187283852,0.8356163379017025,0.7619047619047619,0.1
10,8,0.9595637137536579,0.8447041538170443,0.7619047619047619,0.01
10,8,0.9670125033253525,0.838540348255943,0.7619047619047619,0.001
10,8,0.9672785315243415,0.8393345288817982,0.7619047619047619,0.0001
15,8,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
15,8,0.9765895184889598,0.8989241252056379,0.8571428571428571,0.01
15,8,0.9670125033253525,0.8390651592907232,0.7619047619047619,0.001
15,8,0.9667464751263634,0.8391340068125055,0.7619047619047619,0.0001
20,8,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
20,8,0.9590316573556796,0.8584752885335571,0.7619047619047619,0.01
20,8,0.9678105879223197,0.8410474938422715,0.7619047619047619,0.001
20,8,0.9670125033253524,0.8395134059294461,0.7619047619047619,0.0001
25,8,0.9662144187283852,0.8362491491657431,0.7619047619047619,0.1
25,8,0.9582335727587123,0.8415486554086733,0.8095238095238095,0.01
25,8,0.9662144187283852,0.8376280382047194,0.7619047619047619,0.001
25,8,0.9667464751263634,0.8391033221860289,0.7619047619047619,0.0001
