k,wavelet_degree,batchsize,AUC,AUPR,f1,lr
5,2,128,0.7443365695792881,0.20806428929998724,0.2222222222222222,0.1
5,2,128,0.8338727076591154,0.3602471084127431,0.3333333333333333,0.01
