k,wavelet_degree,tao,batchsize,AUC,AUPR,f1,lr
5,2,0.1,64,0.7819636583223539,0.4661638257479261,0.4943181818181818,0.1
5,2,0.1,64,0.842507960035134,0.6603842113529427,0.6193181818181818,0.01
5,2,0.1,64,0.8144831466842337,0.6564456703912909,0.6136363636363636,0.001
5,2,0.1,64,0.9628280083443126,0.8423889964051992,0.75,0.0001
5,2,0.1,128,0.6469587176108916,0.3943540361885727,0.3068181818181818,0.1
5,2,0.1,128,0.8183465085638999,0.6456635252317277,0.6136363636363636,0.01
5,2,0.1,128,0.8371280742204654,0.6867060633804558,0.6022727272727273,0.001
5,2,0.1,128,0.9639122200263505,0.8477799564493513,0.7613636363636364,0.0001
5,2,0.1,256,0.4841759991216513,0.31161810826221514,0.22159090909090912,0.1
5,2,0.1,256,0.8039223759332454,0.6450715021257598,0.6079545454545454,0.01
5,2,0.1,256,0.7905481444883619,0.6744359019793886,0.6079545454545454,0.001
5,2,0.1,256,0.9651268115942029,0.8515189376661118,0.7613636363636364,0.0001
10,2,0.1,64,0.8088836736934563,0.58299894927748,0.5170454545454546,0.1
10,2,0.1,64,0.8570556104523496,0.7026088190734537,0.6079545454545454,0.01
10,2,0.1,64,0.818655303030303,0.6534191186579468,0.6136363636363636,0.001
10,2,0.1,64,0.9564942907334212,0.830868521973555,0.7443181818181818,0.0001
10,2,0.1,128,0.8450881093544138,0.5308725729627479,0.5397727272727273,0.1
10,2,0.1,128,0.8199179292929294,0.6610143299187532,0.6022727272727273,0.01
10,2,0.1,128,0.8258261967501098,0.6763122872421172,0.6363636363636364,0.001
10,2,0.1,128,0.964022013614405,0.8484553338846625,0.7613636363636364,0.0001
10,2,0.1,256,0.9360246486605183,0.7330336131312482,0.6647727272727273,0.1
10,2,0.1,256,0.8188474418093983,0.6670579761816422,0.6193181818181818,0.01
10,2,0.1,256,0.794802646025472,0.6732885067335725,0.6022727272727273,0.001
10,2,0.1,256,0.9640631862099254,0.8490297673129916,0.7613636363636364,0.0001
15,2,0.1,64,0.7322751976284586,0.5104292889056015,0.4772727272727273,0.1
15,2,0.1,64,0.8401473978919631,0.6930595075109094,0.6136363636363636,0.01
15,2,0.1,64,0.8557312252964426,0.6703814439752029,0.6079545454545454,0.001
15,2,0.1,64,0.9575853645147123,0.8295017424576927,0.7386363636363636,0.0001
15,2,0.1,128,0.7160188844971453,0.3891230739033695,0.4034090909090909,0.1
15,2,0.1,128,0.8345753732981993,0.6899963131961138,0.6193181818181818,0.01
15,2,0.1,128,0.8291749011857708,0.673348622976968,0.6022727272727273,0.001
15,2,0.1,128,0.963768115942029,0.847553720878766,0.7613636363636364,0.0001
15,2,0.1,256,0.7022192028985507,0.4123154552586006,0.4375,0.1
15,2,0.1,256,0.8219902832674572,0.6611505419588956,0.6079545454545454,0.01
15,2,0.1,256,0.8323589152393501,0.6949130774203782,0.6193181818181818,0.001
15,2,0.1,256,0.9651336736934564,0.8511793594676695,0.7613636363636364,0.0001
20,2,0.1,64,0.8768802151954325,0.643454349005617,0.5625,0.1
20,2,0.1,64,0.8204874835309619,0.6587726506294012,0.5965909090909091,0.01
20,2,0.1,64,0.8478123627580149,0.6511748455665651,0.6079545454545454,0.001
20,2,0.1,64,0.9559453227931488,0.8302327467722737,0.7386363636363636,0.0001
